AppID,Nombre,Tipo,Descripcion,Desarrollador,Editor,FechaSalida,Genero,Categoria,Lenguajes,Gratis,EdadRequerida,Moneda,PrecioInicial,Plataforma
1473280,Savage Halloween Soundtrack,music,The soundtrack to the 2D platformer game Savage Halloween.,2ndBoss,2ndBoss,"30 Nov, 2020",Indie,Co-op,English,No,0,USD,0.99,windows
1473270,Are You Smarter Than The Crowd?,game,"You think you're a smart little fella, huh? Well, come on down and prove it in the &quot;Are You Smarter Than The Crowd?&quot; -gameshow! Compete with or against the crowd in a fun I.Q game, hosted by our lovely host!",TipsyDuck,TipsyDuck,"7 Apr, 2022",Strategy,Multi-player,English,No,0,USD,1.99,windows
1473290,Doors of Insanity Playtest,game,,,,"14 Jan, 2021",Indie,Multi-player,English,No,0,,,mac
1473310,Yuhha: Stolen Treasure SOUNDTRACK,music,All music used in the game.,Sergey Gavrilov (SG137),Yramash Games,"25 Nov, 2020",RPG,Online Multi-Player,English,No,0,USD,4.99,linux
1473250,Cafe Owner Simulator: Prologue,game,"Prologue to the Cafe Owner Simulator, where you can restore your own abandoned building, complete tasks at various levels, and start building a restaurant business from zero.",Second Reality,RockGame S.A.,"21 Jun, 2022",Action,Multi-player,English,Si,0,,0.00,mac
1473320,The Tower of TigerqiuQiu Pinball killer,dlc,"AboutYou've been put into a huge billiard table by extraterrestary. They give you a gun that fires white billiards, which you must use to shoot down billiards of all other colors. But these billiards are so huge that they can easily crush you.FeatureThe DLC include full 10 missions",TigerQiuQiu,TigerQiuQiu,"13 Nov, 2020",Indie,Co-op,English,No,0,USD,2.99,windows
1473350,(the) Gnorp Apologue,game,(the) Gnorp Apologue is the journey of the gnorps as you guide them towards their goal of delightfully excessive wealth accumulation.,Myco,(Myco) ,"14 Dec, 2023",RPG,Single-player,English,No,0,USD,6.99,windows
1473390,Hellver Playtest,game,,,,"15 Nov, 2020",Adventure,Local Multi-Player,English,No,0,,,linux
1473380,G.NOM,game,"G.NOM is an action rogue-lite game you awaken as an experiment subject in a lab full of creatures where you need to hunt and eat them. Explore the mysterious lab, make use of abandoned lab equipments, research various genetic mutations, evolve into more powerful forms and uncover secrets of the lab!",Team Hardcell,Team Hardcell,Coming soon,Adventure,Local Multi-Player,English,No,0,Coming soon,Coming soon,windows
1473430,Street Fighter V - Season 5 Premium Pass,dlc,"Street Fighter™ V enters its final season! Purchase this to get 5 unique characters, stages, costumes and more at an incredible value.",Capcom,Capcom,"11 Feb, 2021",Action,Local Multi-Player,English,No,0,USD,29.99,mac
1473440,Yuhha: Stolen Treasure WALLPAPER PACK,dlc,Humble pack of Full HD wallpapers (16:9).,Sergey Gavrilov (SG137),Yramash Games,"25 Nov, 2020",Strategy,Co-op,English,No,0,USD,4.99,mac
1473460,Candy Bear 2 Demo,demo,"In this family-friendly 2-d action game, you are a bear dodging green bunnies and collecting delicious candy. You're running over bricks, climbing up ladders, traversing bars, floating on moving platforms, and pushing crates to reach the next level. This demo version includes 29 of the 240+ levels.",KG Games,KG Games,"19 Nov, 2020",Strategy,Multi-player,English,Si,0,,0.00,windows
1473420,HANAMI,game,HANAMI is an addicting game in which you have to solve puzzles with Lovely Girls.The game is perfect for relaxing.,Blessing Company,Blessing Company,"2 Dec, 2020",Action,Online Multi-Player,English,No,0,USD,1.99,windows
1473470,Yuhha: Stolen Treasure EXTRA SUPPORT,dlc,Two pink hearts appear in main menu because of your special support!,Sergey Gavrilov (SG137),Yramash Games,"25 Nov, 2020",Adventure,Co-op,English,No,0,USD,4.99,mac
1473480,A.V.A Global,game,"A.V.A is a classic FPS shooter game featuring various types game Modes. Depending on the battlefield, you can choose Pointman, Rifleman, and Sniper and enjoy strategic team play.",Valiant,Valiant,"23 Aug, 2022",Indie,Online Multi-Player,English,Si,0,,0.00,mac
1473490,Gold Diggers,game,A Life Simulator game in The Age of Aquarius,KIKO CAT,KIKO CAT,Coming soon,Action,Online Multi-Player,English,No,0,Coming soon,Coming soon,mac
1473520,TIGER GAME ASSETS Steam GAME LOGO Template VOL.01,dlc,"This DLC includes the game LOGO Templates， You can use these in design, also you can customize your favorite color. Features: -90 PNG files -90 PSD files",TigerQiuQiu,TigerQiuQiu,"13 Nov, 2020",Indie,Single-player,English,No,0,USD,2.99,mac
1473500,Rise of the samurai in VR,game,"During the Warring States Period in Japan, the Tokugawa Shogunate levied heavily and aggressively. So a young Ronin fled Kyoto, and came to North China.",William at Oxford,William at Oxford,"30 Nov, 2020",Action,Online Multi-Player,English,No,0,USD,9.99,linux
1473560,Cybershift Playtest,game,,,,"22 Nov, 2020",Indie,Multi-player,English,No,0,,,linux
1473540,Gondola's Adventure,game,Challenge your friends to a quick climbing race to determine who is the gaming warlord.,"""IceBears Untold Tales""","""IceBears Untold Tales""","24 Feb, 2021",RPG,Single-player,English,Si,0,,0.00,windows
1473550,Habroxia 2,game,Blast off for a sequel that pushes every facet of 2D shoot'em ups to escape velocity!,Lillymo Games,Lillymo Games,"3 Feb, 2021",Adventure,Local Multi-Player,English,No,0,USD,9.99,linux
1473590,Freakshow - Episode 3,dlc,Lord Nosferatu invokes the undead to get rid of the Huntress and her sidekick...,Andrealphus Games,Andrealphus Games,"8 May, 2021",Adventure,Local Multi-Player,English,No,0,USD,1.99,linux
1473610,Animal Doctor - Digital Supporter Pack,dlc,"Animal Doctor’s digital Supporter Pack gives you access to various digital goodies and expands your game experience with exclusive content,",Caipirinha Games,Toplitz Productions,"25 Mar, 2021",RPG,Co-op,English,No,0,USD,1.99,linux
1473630,Elrit Clover -A forest in the rut is full of dangers-,game,"2.5D puzzle action. You can customize a heroine, and aim for Imperial Knights' Garrison to seek help. If the heroine is got by bad guys, she got sexual play.",azucat,azucat,"23 Dec, 2020",RPG,Local Multi-Player,English,No,0,USD,14.99,windows
1473640,Space Nations - Battlearena,game,"A Space Nations Battlearena is a video-game that blends the survival, space simulator, and scavenging elements with last-man-standing gameplay.",Linked Bits,IN4VIC,"22 Jan, 2021",Adventure,Co-op,English,No,0,USD,13.99,mac
1473690,RPG Maker MV - Odyssey of Fantasy: BattleBackground,dlc,&quot;RPG Maker MV Odyssey of Fantasy Series&quot; is an official collection of materials that can express the world of high fantasy.,"ENTACL GRAPHICXXX, Gotcha Gotcha Games",Gotcha Gotcha Games,"11 Feb, 2021",RPG,Single-player,English,No,0,USD,24.99,mac
1473650,The Fang,game,A daring wanderer wields his weapons in real-time battles through his quest into the unknown.,C-Laboratory,C-Laboratory,"5 Jan, 2021",Adventure,Online Multi-Player,English,No,0,USD,4.99,mac
1473660,Mrs. Santa's Gift Hunt,game,"Mrs.Santa's Gift Hunt is a short JRPG colecthathon, where you must find missing presents. Multiple endings and an adventure awaits you. Can you find all the presents?",Tuomo Laine,""" Tuomos games""","30 Nov, 2020",Indie,Co-op,English,Si,0,,0.00,linux
1473700,RPG Maker MZ - Odyssey of Fantasy: BattleBackground,dlc,&quot;RPG Maker MZ Odyssey of Fantasy Series&quot; is an official collection of materials that can express the world of high fantasy.,"ENTACL GRAPHICXXX, Gotcha Gotcha Games",Gotcha Gotcha Games,"11 Feb, 2021",RPG,Local Multi-Player,English,No,0,USD,24.99,linux
1473720,Mrs.Santa's Gift Hunt - Hairstyle,dlc,Cosmetic DLC that changes the look of Mrs.Santa,Tuomo Laine,""" Tuomos games""","30 Nov, 2020",RPG,Online Multi-Player,English,No,0,USD,0.99,mac
1472875,Neptunia Virtual Stars - Aogiri High School Pack,dlc,Gain items and accessories inspired by Vtuber group &quot;Aogiri High School&quot;. ・Themed recovery items x 50 (per Vtuber) ・Themed masks x 3 (per Vtuber) ・Themed accessories x 3 (per Vtuber) ・Special &quot;X&quot; Cube for each member of &quot;Aogiri High School&quot;,"Idea Factory, Compile Heart",,"29 Apr, 2021",Adventure,Single-player,English,No,0,USD,3.99,linux
1473710,TRACK : TRUE HAPPY,dlc,"When the game starts, the basic score of all characters will be increased to 50, so you can more easily interact with the girl.",海貓,海貓,Coming soon,Action,Single-player,English,No,0,Coming soon,Coming soon,linux
