AppID,Nombre,Tipo,Descripcion,Desarrollador,Editor,FechaSalida,Genero,Categoria,Lenguajes,Gratis,EdadRequerida,Moneda,PrecioInicial,Plataforma
1873940,I've Seen Everything - Cars,dlc,This DLC contains additional questions for the &quot;Cars&quot; category.,NLB project,NLB project,"9 May, 2022",Strategy,Co-op,English,No,0,USD,1.99,mac
1873942,I've Seen Everything - Cold Steel,dlc,This DLC contains additional questions for the &quot;Cold Steel&quot; category.,NLB project,NLB project,"28 Jan, 2022",Strategy,Single-player,English,No,0,USD,0.99,mac
1873944,I've Seen Everything - Flowers,dlc,This DLC contains additional questions for the &quot;Flowers&quot; category.,NLB project,NLB project,"28 Jan, 2022",RPG,Local Multi-Player,English,No,0,USD,1.99,windows
1873941,I've Seen Everything - Cats,dlc,This DLC contains additional questions for the &quot;Cats&quot; category.,NLB project,NLB project,"28 Jan, 2022",Casual,Multi-player,English,No,0,USD,0.99,linux
1873943,I've Seen Everything - Dogs,dlc,This DLC contains additional questions for the &quot;Dogs&quot; category.,NLB project,NLB project,"28 Jan, 2022",Action,Single-player,English,No,0,USD,0.99,windows
1873946,I've Seen Everything - Ships and More,dlc,This DLC contains additional questions for the &quot;Ships and more&quot; category.,NLB project,NLB project,"28 Jan, 2022",RPG,Co-op,English,No,0,USD,0.99,linux
1873945,I've Seen Everything - Hats,dlc,This DLC contains additional questions for the &quot;Hats&quot; category.,NLB project,NLB project,"28 Jan, 2022",Strategy,Single-player,English,No,0,USD,0.99,linux
1873947,I've Seen Everything - Shoes,dlc,This DLC contains additional questions for the &quot;Shoes&quot; category.,NLB project,NLB project,"28 Jan, 2022",Strategy,Co-op,English,No,0,USD,0.99,mac
1873948,I've Seen Everything - Tools,dlc,This DLC contains additional questions for the &quot;Tools&quot; category.,NLB project,NLB project,"28 Jan, 2022",RPG,Online Multi-Player,English,No,0,USD,0.99,linux
1873950,浊之铃 Demo,demo,《浊之铃》讲述的是不小心解开了奇怪封印、而来到了异世界的少女「秋槿纱」的冒险故事。是一部以幻想东方风格为背景的视觉小说。 在本次公布的demo中您将可以体验到本故事的序章部分，时长约2小时左右。,茯苓包子铺,Eternal Dream,"19 Jan, 2022",Strategy,Single-player,English,Si,0,,0.00,windows
1873980,Grimoire Groves Demo,demo,,Stardust,Stardust,"11 Feb, 2022",RPG,Co-op,English,Si,0,,0.00,mac
1873960,Dungeon Crawler,game,"Dungeon Crawler is a round-based, third-person, rogue-like, fantasy-style, atmospheric indie game. On your journey through a set of caves and rooms you will slay monsters, loot equipment and gain XP to level up and access perks that help you grow and sustain.",Jinxi,Jinxi,"25 Feb, 2022",Casual,Local Multi-Player,English,No,0,USD,5.99,linux
1874020,Just a SHMUP? Demo,demo,"&quot;Just a SHMUP ?&quot; – A special spaciale adventure! A side-scrolling shoot'em up, original, with beautiful 3D graphics, intense and a little wacky. A little preview of the game with the demo.",ChokdeeGame (Sébastien),ChokdeeGame,"17 Jan, 2022",Strategy,Online Multi-Player,English,Si,0,,0.00,mac
1874030,the wassie games Playtest,game,,,,"16 Mar, 2022",Action,Co-op,English,No,0,,,linux
1874010,Robert: Space Stories and Battles,game,Space shootouts and fascinating stories.,Dnovel,Dnovel,"8 Mar, 2022",Action,Multi-player,English,No,0,USD,1.99,linux
1874040,FPS Seduce - Hentai - Invincible Mode DLC,dlc,"A very special mode for the adventurers who just wanna see ;) Play an invincible mode, you don't have to worry about losing here. Play with one hand if you so desire ♥",Elegant Girl Games,Elegant Girl Games,"13 Jan, 2022",Action,Multi-player,English,No,0,USD,9.99,mac
