AppID,Nombre,Tipo,Descripcion,Desarrollador,Editor,FechaSalida,Genero,Categoria,Lenguajes,Gratis,EdadRequerida,Moneda,PrecioInicial,Plataforma
1875090,与我签订契约，成为救世勇者吧！ Demo,demo,test,NightLightGameStudio,NightLightGameStudio,"14 Jan, 2022",Action,Online Multi-Player,English,Si,0,,0.00,mac
1875100,Crackin' Smackin,game,A chaotic stoneage arena brawler with destructible levels for up to 8 players. Customize your character and jump into action!,Lifelight Entertainment GmbH,Lifelight Entertainment GmbH,"7 Jun, 2024",Indie,Co-op,English,Si,0,,0.00,linux
1875120,Marsmare: Alienation,game,"Marsmare: Alienation is a thrilling adventure of an earthling kidnapped by malevolent aliens. Improve your gear and gain new abilities as you progress through the game. Encounter numerous enemies such as Martians, robotic spiders, space slugs and flying drones.",Drunk Fly Oy,Drunk Fly Oy,"27 May, 2024",Casual,Online Multi-Player,English,No,0,USD,1.99,linux
1875160,The Blunderbuss,game,"Roam the streets of Santo Domingo, in this open world third person shooter. Follow the story of Eduardo as he unveils a plot that might doom the entire city. Avenge your family and defend their honor. The current version is in early access and contains a limited version of the story.",DoGame,,"13 Oct, 2022",Casual,Multi-player,English,No,0,USD,0.99,mac
1875140,黎明为歌 - Melody before the Dawn,game,居住在极北之地的少女瑟里卡，每晚都会在睡梦中进入另一个世界—— 这里有着她未曾见过的风景，鲜活的友人，以及一场奇迹般的邂逅。 懵懂的感情为之觉醒，却被提醒一切只是幻梦…… 梦与现实究竟有什么联系，她们的命运又会发生怎样的转变呢？ 迷雾笼罩身周，她将舒展梦境的羽翼，为黎明献上歌唱。,Rolling Cat Studio,Eternal Dream,"11 Mar, 2022",RPG,Multi-player,English,No,0,USD,4.99,mac
1875170,Sniper Elite 5 Season Pass One,dlc,"Continue the fight with Sniper Elite 5 Season Pass One! Return to the frontline in a new expansive two mission campaign, arm yourself with a bolstered cache of authentic World War II weapons and outfit your sniper with new character and weapon skins.",Rebellion,Rebellion,"25 May, 2022",Adventure,Co-op,English,No,0,USD,34.99,linux
1875190,Gekko Episode of Minato - Gallary Mode,dlc,The gallery mode where you can check the contents of the main story will be released.,あいあんそぉど,あいあんそぉど,"25 Jan, 2022",Indie,Single-player,English,No,0,USD,4.99,mac
1875180,Wonderbirds,game,Meet new Lemmings that meets Xonix. Escort dozens of nestlings to save them from the global flood and furious predators. Use your magic wisely and carefully. Coop with your friends and family to have more fun.,"Maxim Nuriev, Alexander Foxly",Maxim Nuriev,Coming soon,Indie,Online Multi-Player,English,No,0,Coming soon,Coming soon,windows
1875230,A Pigeon Detective Game: Twin Beaks,game,"A Pigeon Detective Game: Twin Beaks is a 3rd person, murder-mystery novel game. Explore a surreal village as you investigate the death of the town's delivery pigeon. Utilise your sleuthing skills to uncover the secrets and mysteries of the residents of Twin Beaks.",Alex Taylor,Alex Taylor,To be announced,Strategy,Co-op,English,No,0,To be announced,To be announced,mac
1875240,WeeRPG Demo,demo,,Narfox LLC,Narfox LLC,"5 Feb, 2022",Adventure,Multi-player,English,Si,0,,0.00,windows
1875270,The Star Legation Soundtrack,music,"The Original Soundtrack (OST) for The Star Legation was composed by professional guitarist and composer, Andy Mitchell. All music is synthesized and recorded with a DAW and can be described as a blend between techno, rock, and classical styles to fit the scifi genre of The Star Legation game.","Corefun Studios, LLC","Corefun Studios, LLC","3 Feb, 2022",Strategy,Multi-player,English,No,0,USD,9.99,linux
