AppID,Nombre,Tipo,Descripcion,Desarrollador,Editor,FechaSalida,Genero,Categoria,Lenguajes,Gratis,EdadRequerida,Moneda,PrecioInicial,Plataforma
2429380,淤積的祈禱（Silted Prayer）,game,"A hundred years ago, the chaotic world was suddenly pacified by the sword saint Nedidora, gradually moving towards peace. However, the crisis of the curse of all things was also uncovered... On the dark world tree, what kind of things will Karulu, as a lord, encounter...",Seventeen horns,Seventeen horns,"4 Nov, 2023",Casual,Single-player,English,No,0,USD,10.99,windows
2429450,Woodcutter,game,"Woodcutter is a VR simulator that makes everyone feel like a real carpenter. The simulator reproduces the main stages of the production of window architraves: creating a workpiece blank, choosing the shape of the future architraves, sawing, milling, painting, etc.",NurLab,NurLab,"29 May, 2023",Action,Local Multi-Player,English,No,0,USD,9.99,linux
2429420,SOLIVAGANT,game,SOLIVAGANT is a psychological horror game set in the backrooms.,"Myrha, Roody, Batty",OL Software,2025,RPG,Multi-player,English,No,0,,,linux
2429440,Store Story,game,You are running an item shop and selling items to pay off your debt. Experience a blend of relaxing shop management and strategic turn-based dungeon crawling in this UI-driven adventure!,foolsroom,foolsroom,To be announced,Strategy,Online Multi-Player,English,No,0,To be announced,To be announced,windows
2429410,NightHover,game,"Race on a hoverbike over the NightCity in full 3D flight with easy controls. Earn speed upgrades, shock powerups to slow other racers, repairing powerups and rockets to shoot kamikaze drones. Switch to the first person view for more immersive gameplay. Plays best with a controller!",CoolExGames,CoolExGames,"27 May, 2023",Casual,Co-op,English,No,0,USD,4.99,windows
2429500,이세계메이드 / 외전소설,dlc,Mansion Made Love Simulation Game a sequel novel,Clearbox co,Clearbox co,"10 Jun, 2023",Action,Local Multi-Player,English,No,0,USD,2.99,windows
2429490,Nextbots In The Backrooms,game,"They only look ridiculous at first glance, but they're not! Run. Don't stop, don't try to hide, just run!",Performance Artist,Performance Artist,"2 Jun, 2023",RPG,Single-player,English,No,0,USD,0.99,linux
2429501,이세계메이드 / ASMR 과 모닝콜,dlc,[isekaimaid] ASMR/morning call voice dlc,Clearbox co,Clearbox co,"10 Jun, 2023",Strategy,Online Multi-Player,English,No,0,USD,2.99,mac
2429530,Crystal Tower Defense,game,"Stop an endless hoard of crystal-type enemies, with different attributes, from reaching the portal to earth! You can build your own labyrinths, unlock new turrets, upgrade them, unlock abilities, and also gather permanent bonuses.",Hot Roof Studios,Hot Roof Studios,"19 Jul, 2023",Strategy,Single-player,English,No,0,USD,12.99,linux
2429550,Solar Showdown OST,music,"Groove to the stellar beats of the Solar Showdown Original Soundtrack, with each song modified by the composer to fit a more traditional listening experience. From meditative to heart-pumping, these nine tracks will let you relive your favorite in-game moments and memories!",Nate Williams,BYU Center for Animation,"14 Jun, 2023",Strategy,Multi-player,English,Si,0,,0.00,linux
