AppID,Nombre,Tipo,Descripcion,Desarrollador,Editor,FechaSalida,Genero,Categoria,Lenguajes,Gratis,EdadRequerida,Moneda,PrecioInicial,Plataforma
2746070,Plains of Havoc Demo,demo,,Tiny Island Games,Tiny Island Games,"20 Mar, 2024",Action,Local Multi-Player,English,Si,0,,0.00,linux
2608270,Intravenous 2,game,Intravenous 2 is the ultimate blend of tactical gameplay and immersive storytelling. Will you embrace the shadows or confront your foes head-on? The choice is yours. Experience a new era of tactical stealth action. Save lives. Uncover secrets. Take vengeance.,Explosive Squat Games,HypeTrain Digital,"15 Aug, 2024",Strategy,Co-op,English,No,0,USD,19.99,windows
3273010,Once upon a Dungeon - Infinity Demo,demo,"Travel through dark dungeons, defeat dangerous creatures, and collect unique loot as you play endlessly in this hardcore, traditional roguelike.",Koto Gams,Koto Games,"7 Oct, 2024",Action,Local Multi-Player,English,Si,0,,0.00,mac
2755950,Tidebound,game,"Tidebound is a fishing and inventory management game with a relaxing, casual atmosphere. Catch, sell, upgrade your boat, and sail further to catch more expensive and exotic sea animals. Casual yet engaging, the game offers a sense of progress with tons of equipment and hundreds of species to catch.",Tinymice Entertainment,Rogue Duck Interactive,Q2 2025,Indie,Local Multi-Player,English,No,0,,,linux
2770510,Backpack Monsters Playtest,game,,,,"28 May, 2024",RPG,Single-player,English,No,0,,,linux
2945950,Dice 'n Goblins,game,"Dice 'n Goblins is a turn-based RPG that blends luck and strategy as you battle using dice rolls. Master your skills, chain powerful combos, and overcome the whims of fortune. Collect loot, upgrade your gear, and craft the ultimate dice pool to face monsters and other foes lurking in the shadows!",Tsukumogami Software,Rogue Duck Interactive,Q1 2025,Casual,Multi-player,English,No,0,,,linux
2956560,Clonizer Playtest,game,,,,"6 May, 2024",Casual,Co-op,English,No,0,,,windows
2771210,Dice &amp; Fold Playtest,game,,,,"24 Mar, 2024",Action,Multi-player,English,No,0,,,windows
3034510,Starfell,game,Starfell is a combo-builder turn-based combat roguelike game with a unique astrology theme. Build your skill deck and defeat the boss with one of 12 distinct stargazer heroes. Strategize your best skill combos and prepare to face challenging and diverse enemies.,Rogue Duck Interactive,Rogue Duck Interactive,Q1 2025,Adventure,Co-op,English,No,0,,,linux
3056580,HEXAROMA: Village Builder,game,"HEXAROMA is a strategy based charming little island village builder. Dive into a relaxing yet challenging experience where you strategize the best hexagon island placements in this cute little city builder game. Place the building pieces strategically, grow your village and your tiny island.",Almost a Game Company,Rogue Duck Interactive,Q1 2025,Indie,Online Multi-Player,English,No,0,,,linux
3165080,Mika and The Witch's Mountain Soundtrack,music,"This coming-of-age journey will take us to the top of the mountain through a story of effort, friendship, and community; and will let our hearts fly free.","Chibig, Nukefist",,"26 Aug, 2024",Adventure,Local Multi-Player,English,No,0,USD,3.99,mac
3199950,Dice 'n Goblins Demo,demo,"Dice 'n Goblins is a turn-based RPG blends luck and strategy as you battle using dice rolls. Master your skills, chain powerful combos, and overcome the whims of fortune. Collect loot, upgrade your gear, and craft the ultimate dice pool to face monsters and others foes lurking in the shadows!",Tsukumogami Software,Rogue Duck Interactive,"3 Oct, 2024",Action,Local Multi-Player,English,Si,0,,0.00,mac
3221140,Mini City: Mayhem Demo,demo,"Mini City: Mayhem is a chaos-filled city-builder where you build against time. Become the mayor of a tiny town, plop down tiny building blocks to build a working city to progress. Manage your roads and building connections. But be quick, because time is ticking!","Rogue Duck Interactive, Horstronaut",Rogue Duck Interactive,"3 Oct, 2024",RPG,Local Multi-Player,English,Si,0,,0.00,windows
2113120,Verlet Ascend,game,"Verlet Ascend is a physics based, action platformer with roguelike mechanics, a fully destructable procedurally generated environment, and rope swing physics. Fight creatures, loot enemies, upgrade your character, and climb your way up in an endless parkour.",Sagewind Studio,Stratera Games,"28 Feb, 2023",Indie,Single-player,English,No,0,USD,6.99,windows
2165370,Ankora: Lost Days - Prologue,game,"The opening act of Ankora: Lost Days. Discover the beginning of this adventure and explore freely around this mysterious world full of promise and danger. Craft different tools, build structures and terraform yourself a new home in the opening act of this cute-as-heck survival game.",Chibig,Chibig,"28 Oct, 2022",RPG,Online Multi-Player,English,Si,0,,0.00,windows
2244240,The Verge Miner,game,"The Verge Miner is an immersive mining, base defense, and action roguelike game. Jump through asteroids on The Verge of the universe, and mine valuable resources. These uncharted rocks are filled with exogens you need to protect yourself against. Choose and upgrade gear for your play style.",Rogue Duck Interactive,Rogue Duck Interactive,Coming soon,Adventure,Online Multi-Player,English,No,0,Coming soon,Coming soon,linux
2252840,Mika and The Witch's Mountain Demo,demo,Mika and the Witch’s Mountain is a fantasy adventure about an aspiring witch who delivers packages to the townspeople of a small island. Explore every cranny and soar through the sky with your magic broom.,"Chibig, Nukefist",Chibig,"6 Feb, 2023",Action,Local Multi-Player,English,Si,0,,0.00,mac
2517440,Mini City: Mayhem,game,"Mini City: Mayhem is a chaos-filled city-builder where you build against time. Become the mayor of a tiny town, plop down tiny building blocks to build a working city to progress. Manage your roads and building connections. But be quick, because time is ticking!","Rogue Duck Interactive, Horstronaut","Rogue Duck Interactive, The 4 Winds Entertainment",Q1 2025,Strategy,Multi-player,English,No,0,,,windows
2655590,Kingdom's Deck,game,"Kingdom's Deck is a card-based city-builder where you build and protect your Kingdom from the enemy siege. Build your deck, deploy your cards wisely, defend your walls, manage your resources, respond to various events that will shape your city, and create the ultimate Kingdom's deck!",Ivan Aco,Rogue Duck Interactive,March 2025,Indie,Multi-player,English,No,0,,,windows
2949340,超能X天使 OST,music,"This is the soundtrack of &quot;X-Angel,&quot; containing 16 original tracks.","GoldenHawk, Barance Studio","Mango Party, Barance Studio","Jun 21, 2024",RPG,Single-player,English,No,0,USD,3.99,mac
2699260,Stellar Settlers Playtest,game,,,,"12 Mar, 2024",Casual,Local Multi-Player,English,No,0,,,windows
3221280,HEXAROMA Demo,demo,"HEXAROMA is a strategy based charming little island village builder. Dive into a relaxing yet challenging experience where you strategize the best hexagon island placements in this cute little city builder game. Place the building pieces strategically, grow your village and your tiny island.",Almost a Game Company,Rogue Duck Interactive,"3 Oct, 2024",Adventure,Multi-player,English,Si,0,,0.00,mac
